Section	Id	Action
Main	267	Track: Set solo for track 31 (MIDI CC/OSC only)
Main	268	Track: Set volume for track 32 (MIDI CC/OSC only)
Main	269	Track: Set pan for track 32 (MIDI CC/OSC only)
Main	270	Track: Toggle mute for track 32
Main	271	Track: Toggle solo for track 32
Main	272	Track: Toggle FX bypass for track 32
Main	273	Track: Toggle record arm for track 32
Main	274	Track: Set mute for track 32 (MIDI CC/OSC only)
Main	275	Track: Set solo for track 32 (MIDI CC/OSC only)
Main	276	Track: Set volume for track 33 (MIDI CC/OSC only)
Main	277	Track: Set pan for track 33 (MIDI CC/OSC only)
Main	278	Track: Toggle mute for track 33
Main	279	Track: Toggle solo for track 33
Main	280	Track: Toggle FX bypass for track 33
Main	281	Track: Toggle record arm for track 33
Main	282	Track: Set mute for track 33 (MIDI CC/OSC only)
Main	283	Track: Set solo for track 33 (MIDI CC/OSC only)
Main	284	Track: Set volume for track 34 (MIDI CC/OSC only)
Main	285	Track: Set pan for track 34 (MIDI CC/OSC only)
Main	286	Track: Toggle mute for track 34
Main	287	Track: Toggle solo for track 34
Main	288	Track: Toggle FX bypass for track 34
Main	289	Track: Toggle record arm for track 34
Main	290	Track: Set mute for track 34 (MIDI CC/OSC only)
Main	291	Track: Set solo for track 34 (MIDI CC/OSC only)
Main	292	Track: Set volume for track 35 (MIDI CC/OSC only)
Main	293	Track: Set pan for track 35 (MIDI CC/OSC only)
Main	294	Track: Toggle mute for track 35
Main	295	Track: Toggle solo for track 35
Main	296	Track: Toggle FX bypass for track 35
Main	297	Track: Toggle record arm for track 35
Main	298	Track: Set mute for track 35 (MIDI CC/OSC only)
Main	299	Track: Set solo for track 35 (MIDI CC/OSC only)
Main	300	Track: Set volume for track 36 (MIDI CC/OSC only)
Main	301	Track: Set pan for track 36 (MIDI CC/OSC only)
Main	302	Track: Toggle mute for track 36
Main	303	Track: Toggle solo for track 36
Main	304	Track: Toggle FX bypass for track 36
Main	305	Track: Toggle record arm for track 36
Main	306	Track: Set mute for track 36 (MIDI CC/OSC only)
Main	307	Track: Set solo for track 36 (MIDI CC/OSC only)
Main	308	Track: Set volume for track 37 (MIDI CC/OSC only)
Main	309	Track: Set pan for track 37 (MIDI CC/OSC only)
Main	310	Track: Toggle mute for track 37
Main	311	Track: Toggle solo for track 37
Main	312	Track: Toggle FX bypass for track 37
Main	313	Track: Toggle record arm for track 37
Main	314	Track: Set mute for track 37 (MIDI CC/OSC only)
Main	315	Track: Set solo for track 37 (MIDI CC/OSC only)
Main	316	Track: Set volume for track 38 (MIDI CC/OSC only)
Main	317	Track: Set pan for track 38 (MIDI CC/OSC only)
Main	318	Track: Toggle mute for track 38
Main	319	Track: Toggle solo for track 38
Main	320	Track: Toggle FX bypass for track 38
Main	321	Track: Toggle record arm for track 38
Main	322	Track: Set mute for track 38 (MIDI CC/OSC only)
Main	323	Track: Set solo for track 38 (MIDI CC/OSC only)
Main	324	Track: Set volume for track 39 (MIDI CC/OSC only)
Main	325	Track: Set pan for track 39 (MIDI CC/OSC only)
Main	326	Track: Toggle mute for track 39
Main	327	Track: Toggle solo for track 39
Main	328	Track: Toggle FX bypass for track 39
Main	329	Track: Toggle record arm for track 39
Main	330	Track: Set mute for track 39 (MIDI CC/OSC only)
Main	331	Track: Set solo for track 39 (MIDI CC/OSC only)
Main	332	Track: Set volume for track 40 (MIDI CC/OSC only)
Main	333	Track: Set pan for track 40 (MIDI CC/OSC only)
Main	334	Track: Toggle mute for track 40
Main	335	Track: Toggle solo for track 40
Main	336	Track: Toggle FX bypass for track 40
Main	337	Track: Toggle record arm for track 40
Main	338	Track: Set mute for track 40 (MIDI CC/OSC only)
Main	339	Track: Set solo for track 40 (MIDI CC/OSC only)
Main	340	Track: Set volume for track 41 (MIDI CC/OSC only)
Main	341	Track: Set pan for track 41 (MIDI CC/OSC only)
Main	342	Track: Toggle mute for track 41
Main	343	Track: Toggle solo for track 41
Main	344	Track: Toggle FX bypass for track 41
Main	345	Track: Toggle record arm for track 41
Main	346	Track: Set mute for track 41 (MIDI CC/OSC only)
Main	347	Track: Set solo for track 41 (MIDI CC/OSC only)
Main	348	Track: Set volume for track 42 (MIDI CC/OSC only)
Main	349	Track: Set pan for track 42 (MIDI CC/OSC only)
Main	350	Track: Toggle mute for track 42
Main	351	Track: Toggle solo for track 42
Main	352	Track: Toggle FX bypass for track 42
Main	353	Track: Toggle record arm for track 42
Main	354	Track: Set mute for track 42 (MIDI CC/OSC only)
Main	355	Track: Set solo for track 42 (MIDI CC/OSC only)
Main	356	Track: Set volume for track 43 (MIDI CC/OSC only)
Main	357	Track: Set pan for track 43 (MIDI CC/OSC only)
Main	358	Track: Toggle mute for track 43
Main	359	Track: Toggle solo for track 43
Main	360	Track: Toggle FX bypass for track 43
Main	361	Track: Toggle record arm for track 43
Main	362	Track: Set mute for track 43 (MIDI CC/OSC only)
Main	363	Track: Set solo for track 43 (MIDI CC/OSC only)
Main	364	Track: Set volume for track 44 (MIDI CC/OSC only)
Main	365	Track: Set pan for track 44 (MIDI CC/OSC only)
Main	366	Track: Toggle mute for track 44
Main	367	Track: Toggle solo for track 44
Main	368	Track: Toggle FX bypass for track 44
Main	369	Track: Toggle record arm for track 44
Main	370	Track: Set mute for track 44 (MIDI CC/OSC only)
Main	371	Track: Set solo for track 44 (MIDI CC/OSC only)
Main	372	Track: Set volume for track 45 (MIDI CC/OSC only)
Main	373	Track: Set pan for track 45 (MIDI CC/OSC only)
Main	374	Track: Toggle mute for track 45
Main	375	Track: Toggle solo for track 45
Main	376	Track: Toggle FX bypass for track 45
Main	377	Track: Toggle record arm for track 45
Main	378	Track: Set mute for track 45 (MIDI CC/OSC only)
Main	379	Track: Set solo for track 45 (MIDI CC/OSC only)
Main	380	Track: Set volume for track 46 (MIDI CC/OSC only)
Main	381	Track: Set pan for track 46 (MIDI CC/OSC only)
Main	382	Track: Toggle mute for track 46
Main	383	Track: Toggle solo for track 46
Main	384	Track: Toggle FX bypass for track 46
Main	385	Track: Toggle record arm for track 46
Main	386	Track: Set mute for track 46 (MIDI CC/OSC only)
Main	387	Track: Set solo for track 46 (MIDI CC/OSC only)
Main	388	Track: Set volume for track 47 (MIDI CC/OSC only)
Main	389	Track: Set pan for track 47 (MIDI CC/OSC only)
Main	390	Track: Toggle mute for track 47
Main	391	Track: Toggle solo for track 47
Main	392	Track: Toggle FX bypass for track 47
Main	393	Track: Toggle record arm for track 47
Main	394	Track: Set mute for track 47 (MIDI CC/OSC only)
Main	395	Track: Set solo for track 47 (MIDI CC/OSC only)
Main	396	Track: Set volume for track 48 (MIDI CC/OSC only)
Main	397	Track: Set pan for track 48 (MIDI CC/OSC only)
Main	398	Track: Toggle mute for track 48
Main	399	Track: Toggle solo for track 48
Main	400	Track: Toggle FX bypass for track 48
Main	401	Track: Toggle record arm for track 48
Main	402	Track: Set mute for track 48 (MIDI CC/OSC only)
Main	403	Track: Set solo for track 48 (MIDI CC/OSC only)
Main	404	Track: Set volume for track 49 (MIDI CC/OSC only)
Main	405	Track: Set pan for track 49 (MIDI CC/OSC only)
Main	406	Track: Toggle mute for track 49
Main	407	Track: Toggle solo for track 49
Main	408	Track: Toggle FX bypass for track 49
Main	409	Track: Toggle record arm for track 49
Main	410	Track: Set mute for track 49 (MIDI CC/OSC only)
Main	411	Track: Set solo for track 49 (MIDI CC/OSC only)
Main	412	Track: Set volume for track 50 (MIDI CC/OSC only)
Main	413	Track: Set pan for track 50 (MIDI CC/OSC only)
Main	414	Track: Toggle mute for track 50
Main	415	Track: Toggle solo for track 50
Main	416	Track: Toggle FX bypass for track 50
Main	417	Track: Toggle record arm for track 50
Main	418	Track: Set mute for track 50 (MIDI CC/OSC only)
Main	419	Track: Set solo for track 50 (MIDI CC/OSC only)
Main	420	Track: Set volume for track 51 (MIDI CC/OSC only)
Main	421	Track: Set pan for track 51 (MIDI CC/OSC only)
Main	422	Track: Toggle mute for track 51
Main	423	Track: Toggle solo for track 51
Main	424	Track: Toggle FX bypass for track 51
Main	425	Track: Toggle record arm for track 51
Main	426	Track: Set mute for track 51 (MIDI CC/OSC only)
Main	427	Track: Set solo for track 51 (MIDI CC/OSC only)
Main	428	Track: Set volume for track 52 (MIDI CC/OSC only)
Main	429	Track: Set pan for track 52 (MIDI CC/OSC only)
Main	430	Track: Toggle mute for track 52
Main	431	Track: Toggle solo for track 52
Main	432	Track: Toggle FX bypass for track 52
Main	433	Track: Toggle record arm for track 52
Main	434	Track: Set mute for track 52 (MIDI CC/OSC only)
Main	435	Track: Set solo for track 52 (MIDI CC/OSC only)
Main	436	Track: Set volume for track 53 (MIDI CC/OSC only)
Main	437	Track: Set pan for track 53 (MIDI CC/OSC only)
Main	438	Track: Toggle mute for track 53
Main	439	Track: Toggle solo for track 53
Main	440	Track: Toggle FX bypass for track 53
Main	441	Track: Toggle record arm for track 53
Main	442	Track: Set mute for track 53 (MIDI CC/OSC only)
Main	443	Track: Set solo for track 53 (MIDI CC/OSC only)
Main	444	Track: Set volume for track 54 (MIDI CC/OSC only)
Main	445	Track: Set pan for track 54 (MIDI CC/OSC only)
Main	446	Track: Toggle mute for track 54
Main	447	Track: Toggle solo for track 54
Main	448	Track: Toggle FX bypass for track 54
Main	449	Track: Toggle record arm for track 54
Main	450	Track: Set mute for track 54 (MIDI CC/OSC only)
Main	451	Track: Set solo for track 54 (MIDI CC/OSC only)
Main	452	Track: Set volume for track 55 (MIDI CC/OSC only)
Main	453	Track: Set pan for track 55 (MIDI CC/OSC only)
Main	454	Track: Toggle mute for track 55
Main	455	Track: Toggle solo for track 55
Main	456	Track: Toggle FX bypass for track 55
Main	457	Track: Toggle record arm for track 55
Main	458	Track: Set mute for track 55 (MIDI CC/OSC only)
Main	459	Track: Set solo for track 55 (MIDI CC/OSC only)
Main	460	Track: Set volume for track 56 (MIDI CC/OSC only)
Main	461	Track: Set pan for track 56 (MIDI CC/OSC only)
Main	462	Track: Toggle mute for track 56
Main	463	Track: Toggle solo for track 56
Main	464	Track: Toggle FX bypass for track 56
Main	465	Track: Toggle record arm for track 56
Main	466	Track: Set mute for track 56 (MIDI CC/OSC only)
Main	467	Track: Set solo for track 56 (MIDI CC/OSC only)
Main	468	Track: Set volume for track 57 (MIDI CC/OSC only)
Main	469	Track: Set pan for track 57 (MIDI CC/OSC only)
Main	470	Track: Toggle mute for track 57
Main	471	Track: Toggle solo for track 57
Main	472	Track: Toggle FX bypass for track 57
Main	473	Track: Toggle record arm for track 57
Main	474	Track: Set mute for track 57 (MIDI CC/OSC only)
Main	475	Track: Set solo for track 57 (MIDI CC/OSC only)
Main	476	Track: Set volume for track 58 (MIDI CC/OSC only)
Main	477	Track: Set pan for track 58 (MIDI CC/OSC only)
Main	478	Track: Toggle mute for track 58
Main	479	Track: Toggle solo for track 58
Main	480	Track: Toggle FX bypass for track 58
Main	481	Track: Toggle record arm for track 58
Main	482	Track: Set mute for track 58 (MIDI CC/OSC only)
Main	483	Track: Set solo for track 58 (MIDI CC/OSC only)
Main	484	Track: Set volume for track 59 (MIDI CC/OSC only)
Main	485	Track: Set pan for track 59 (MIDI CC/OSC only)
Main	486	Track: Toggle mute for track 59
Main	487	Track: Toggle solo for track 59
Main	488	Track: Toggle FX bypass for track 59
Main	489	Track: Toggle record arm for track 59
Main	490	Track: Set mute for track 59 (MIDI CC/OSC only)
Main	491	Track: Set solo for track 59 (MIDI CC/OSC only)
Main	492	Track: Set volume for track 60 (MIDI CC/OSC only)
Main	493	Track: Set pan for track 60 (MIDI CC/OSC only)
Main	494	Track: Toggle mute for track 60
Main	495	Track: Toggle solo for track 60
Main	496	Track: Toggle FX bypass for track 60
Main	497	Track: Toggle record arm for track 60
Main	498	Track: Set mute for track 60 (MIDI CC/OSC only)
Main	499	Track: Set solo for track 60 (MIDI CC/OSC only)
Main	500	Track: Set volume for track 61 (MIDI CC/OSC only)
Main	501	Track: Set pan for track 61 (MIDI CC/OSC only)
Main	502	Track: Toggle mute for track 61
Main	503	Track: Toggle solo for track 61
Main	504	Track: Toggle FX bypass for track 61
Main	505	Track: Toggle record arm for track 61
Main	506	Track: Set mute for track 61 (MIDI CC/OSC only)
Main	507	Track: Set solo for track 61 (MIDI CC/OSC only)
Main	508	Track: Set volume for track 62 (MIDI CC/OSC only)
Main	509	Track: Set pan for track 62 (MIDI CC/OSC only)
Main	510	Track: Toggle mute for track 62
Main	511	Track: Toggle solo for track 62
Main	512	Track: Toggle FX bypass for track 62
Main	513	Track: Toggle record arm for track 62
Main	514	Track: Set mute for track 62 (MIDI CC/OSC only)
Main	515	Track: Set solo for track 62 (MIDI CC/OSC only)
Main	516	Track: Set volume for track 63 (MIDI CC/OSC only)
Main	517	Track: Set pan for track 63 (MIDI CC/OSC only)
Main	518	Track: Toggle mute for track 63
Main	519	Track: Toggle solo for track 63
Main	520	Track: Toggle FX bypass for track 63
Main	521	Track: Toggle record arm for track 63
Main	522	Track: Set mute for track 63 (MIDI CC/OSC only)
Main	523	Track: Set solo for track 63 (MIDI CC/OSC only)
Main	524	Track: Set volume for track 64 (MIDI CC/OSC only)
Main	525	Track: Set pan for track 64 (MIDI CC/OSC only)
Main	526	Track: Toggle mute for track 64
Main	527	Track: Toggle solo for track 64
Main	528	Track: Toggle FX bypass for track 64
Main	529	Track: Toggle record arm for track 64
Main	530	Track: Set mute for track 64 (MIDI CC/OSC only)
Main	531	Track: Set solo for track 64 (MIDI CC/OSC only)
Main	532	Track: Set volume for track 65 (MIDI CC/OSC only)
Main	533	Track: Set pan for track 65 (MIDI CC/OSC only)
Main	534	Track: Toggle mute for track 65
Main	535	Track: Toggle solo for track 65
Main	536	Track: Toggle FX bypass for track 65
Main	537	Track: Toggle record arm for track 65
Main	538	Track: Set mute for track 65 (MIDI CC/OSC only)
Main	539	Track: Set solo for track 65 (MIDI CC/OSC only)
Main	540	Track: Set volume for track 66 (MIDI CC/OSC only)
Main	541	Track: Set pan for track 66 (MIDI CC/OSC only)
Main	542	Track: Toggle mute for track 66
Main	543	Track: Toggle solo for track 66
Main	544	Track: Toggle FX bypass for track 66
Main	545	Track: Toggle record arm for track 66
Main	546	Track: Set mute for track 66 (MIDI CC/OSC only)
Main	547	Track: Set solo for track 66 (MIDI CC/OSC only)
Main	548	Track: Set volume for track 67 (MIDI CC/OSC only)
Main	549	Track: Set pan for track 67 (MIDI CC/OSC only)
Main	550	Track: Toggle mute for track 67
Main	551	Track: Toggle solo for track 67
Main	552	Track: Toggle FX bypass for track 67
